Target,RA,DEC,Sp. Type,T_eff [K],B [mag],V [mag],G [mag],Dist [pc],Data products (ascii),Data products (csv)
GJ9498,50:41.2,-15:59:50.028,F3V,6577.3,5.57,5.16,5,23.37,GJ9498_harps_all-data_v1.dat,GJ9498_harps_all-data_v1.csv
GJ9507,00:43.4,-11:08:06.466,K8Vk,N/A,10.865,9.472,8.844,17.85,GJ9507_harps_all-data_v1.dat,GJ9507_harps_all-data_v1.csv
GJ9527,44:01.8,+02:30:54.600,G2.5V,5698.3,nan,nan,5.679,14.77,GJ9527_harps_all-data_v1.dat,GJ9527_harps_all-data_v1.csv
GJ9536,10:15.0,-84:13:53.813,G9IV-V,N/A,8.47,7.69,7.514,34.31,GJ9536_harps_all-data_v1.dat,GJ9536_harps_all-data_v1.csv
GJ9547,11:49.5,-52:54:55.414,K4,3662.5,11.66,10.5,10.052,44.91,GJ9547_harps_all-data_v1.dat,GJ9547_harps_all-data_v1.csv
GJ9563,33:27.1,-78:53:49.737,G8III,4946.5,4.783,3.854,3.52,45.94,GJ9563_harps_all-data_v1.dat,GJ9563_harps_all-data_v1.csv
GJ9565,32:57.9,-12:35:30.208,M0,N/A,11.96,10.61,10.006,31.71,GJ9565_harps_all-data_v1.dat,GJ9565_harps_all-data_v1.csv
GJ9583,05:16.8,+00:42:09.217,F8.5IV-V,N/A,6.59,nan,5.848,20.66,GJ9583_harps_all-data_v1.dat,GJ9583_harps_all-data_v1.csv
GJ9590,23:49.2,-32:15:16.275,M1.5,N/A,13.137,11.635,10.766,21.97,GJ9590_harps_all-data_v1.dat,GJ9590_harps_all-data_v1.csv
GJ9592,30:22.7,+05:32:54.663,M1.0Ve,3895,10.79,9.433,8.53,10.12,GJ9592_harps_all-data_v1.dat,GJ9592_harps_all-data_v1.csv
GJ95,18:58.5,-25:56:44.473,G8V,N/A,7.07,6.34,6.131,12.83,GJ95_harps_all-data_v1.dat,GJ95_harps_all-data_v1.csv
GJ9626,20:59.6,-29:49:41.165,K2.5IIIaCN0.5,4732.7,4.069,2.668,2.148,nan,GJ9626_harps_all-data_v1.dat,GJ9626_harps_all-data_v1.csv
GJ9630,37:12.8,-25:40:16.563,G4V,N/A,8.14,7.46,7.251,30.2,GJ9630_harps_all-data_v1.dat,GJ9630_harps_all-data_v1.csv
GJ9646,10:52.3,-47:09:31.046,K6.5V,N/A,10.672,9.342,8.791,20.78,GJ9646_harps_all-data_v1.dat,GJ9646_harps_all-data_v1.csv
GJ9655,24:34.2,-22:03:43.835,K8Vk:,N/A,12.262,10.899,10.268,27.63,GJ9655_harps_all-data_v1.dat,GJ9655_harps_all-data_v1.csv
GJ9659,30:52.7,-06:30:51.925,G3V,5831.2,7.93,7.28,7.102,33.38,GJ9659_harps_all-data_v1.dat,GJ9659_harps_all-data_v1.csv
GJ9663,37:34.4,-14:18:06.491,F7V,6299.5,5.938,5.451,5.309,31.6,GJ9663_harps_all-data_v1.dat,GJ9663_harps_all-data_v1.csv
GJ9673,55:50.4,-26:17:57.693,G5IV,5553,5.45,4.7,4.421,23.41,GJ9673_harps_all-data_v1.dat,GJ9673_harps_all-data_v1.csv
GJ9700,37:34.0,-47:17:29.402,K0III-IV,4707.2,4.11,3.11,2.724,29.14,GJ9700_harps_all-data_v1.dat,GJ9700_harps_all-data_v1.csv
GJ9714,01:39.1,-32:31:28.121,K6Vk:,N/A,10.588,9.326,8.838,20.52,GJ9714_harps_all-data_v1.dat,GJ9714_harps_all-data_v1.csv
GJ9732,20:09.8,-67:39:05.631,M1.5V,N/A,12.388,10.897,10.066,20.86,GJ9732_harps_all-data_v1.dat,GJ9732_harps_all-data_v1.csv
GJ9733,19:52.0,-53:26:57.924,A5IV-V,8155,4.641,4.483,4.417,29.47,GJ9733_harps_all-data_v1.dat,GJ9733_harps_all-data_v1.csv
GJ9762,54:45.3,-46:59:33.841,M3V,N/A,13.545,11.954,10.952,15.54,GJ9762_harps_all-data_v1.dat,GJ9762_harps_all-data_v1.csv
GJ9765,06:46.3,-45:23:32.777,K2V,N/A,9.28,8.43,8.193,30,GJ9765_harps_all-data_v1.dat,GJ9765_harps_all-data_v1.csv
GJ9771,10:12.0,+06:11:52.307,A1Va,N/A,3.62,3.55,3.433,27.2,GJ9771_harps_all-data_v1.dat,GJ9771_harps_all-data_v1.csv
GJ9774,14:38.7,-41:22:53.986,G2V,N/A,6.88,6.23,6.045,nan,GJ9774_harps_all-data_v1.dat,GJ9774_harps_all-data_v1.csv
GJ9787,33:30.7,-35:26:40.367,G8V,N/A,8.52,7.8,7.621,33.55,GJ9787_harps_all-data_v1.dat,GJ9787_harps_all-data_v1.csv
GJ9789,34:41.6,-20:42:29.574,F7V,N/A,5.64,5.2,5.076,22.95,GJ9789_harps_all-data_v1.dat,GJ9789_harps_all-data_v1.csv
GJ9790,36:07.7,-54:36:38.232,G8VFe-1.3,N/A,8.25,7.59,7.403,31.66,GJ9790_harps_all-data_v1.dat,GJ9790_harps_all-data_v1.csv
GJ9797,50:10.5,-41:29:24.382,G9V,N/A,8.51,7.77,7.575,28.53,GJ9797_harps_all-data_v1.dat,GJ9797_harps_all-data_v1.csv
GJ97,22:32.6,-23:49:00.487,G0V,5908,5.8,5.19,4.983,22.68,GJ97_harps_all-data_v1.dat,GJ97_harps_all-data_v1.csv
GJ9801,52:24.1,+09:50:08.386,F6V,N/A,5.64,nan,4.979,26.93,GJ9801_harps_all-data_v1.dat,GJ9801_harps_all-data_v1.csv
GJ9803,55:50.0,-07:49:21.389,G6V,N/A,8.65,8.01,7.838,36.06,GJ9803_harps_all-data_v1.dat,GJ9803_harps_all-data_v1.csv
GJ9824,23:04.9,-10:45:51.278,K2V,N/A,8.695,7.796,7.531,19.18,GJ9824_harps_all-data_v1.dat,GJ9824_harps_all-data_v1.csv
GJ9827,27:04.8,-01:17:10.585,K6V,N/A,11.57,10.1,9.838,29.69,GJ9827_harps_all-data_v1.dat,GJ9827_harps_all-data_v1.csv
GJ9828,29:34.4,-47:02:09.698,K6+Vk:,4299.2,11.51,10.27,9.667,29.22,GJ9828_harps_all-data_v1.dat,GJ9828_harps_all-data_v1.csv
GJ9829,31:31.5,-04:05:14.655,F7V,N/A,7.03,6.49,6.346,25.96,GJ9829_harps_all-data_v1.dat,GJ9829_harps_all-data_v1.csv
GJ9833,39:51.3,-32:44:36.265,G9.5V,N/A,8.002,7.191,6.958,18.25,GJ9833_harps_all-data_v1.dat,GJ9833_harps_all-data_v1.csv
GJ9836,42:43.3,-14:32:41.652,B9V,9423.3,4.448,4.484,4.421,48.58,GJ9836_harps_all-data_v1.dat,GJ9836_harps_all-data_v1.csv
GJ9847,01:25.8,-16:56:54.387,K7.0V,N/A,12.29,10.62,10.092,31.28,GJ9847_harps_all-data_v1.dat,GJ9847_harps_all-data_v1.csv
HATS-17,48:45.5,-47:36:49.287,N/A,5483.7,13.105,12.39,12.218,404.63,HATS-17_harps_all-data_v1.dat,HATS-17_harps_all-data_v1.csv
HATS-31,46:48.7,-24:25:38.568,N/A,5808.3,13.69,13.11,12.961,791.33,HATS-31_harps_all-data_v1.dat,HATS-31_harps_all-data_v1.csv
HD100069,31:00.7,+09:37:12.492,G5,5877.7,8.64,7.99,7.821,89.74,HD100069_harps_all-data_v1.dat,HD100069_harps_all-data_v1.csv
HD10008,37:35.5,-06:45:37.531,K0/1V,5303,8.459,7.656,7.446,24.04,HD10008_harps_all-data_v1.dat,HD10008_harps_all-data_v1.csv
HD100289,32:14.4,-31:22:58.495,G8/K0V,5475,9.73,8.98,8.807,56.53,HD100289_harps_all-data_v1.dat,HD100289_harps_all-data_v1.csv
HD100363,32:51.6,-12:02:06.465,F8V,7133.2,8.89,8.65,8.551,175.17,HD100363_harps_all-data_v1.dat,HD100363_harps_all-data_v1.csv
HD100407,33:00.1,-31:51:27.443,G7IIIb,4817.5,4.47,3.54,3.179,34.95,HD100407_harps_all-data_v1.dat,HD100407_harps_all-data_v1.csv
HD10042,33:39.2,-78:30:17.351,K0III,4942.8,7.077,6.103,5.836,117.9,HD10042_harps_all-data_v1.dat,HD10042_harps_all-data_v1.csv
HD100508,33:13.1,-67:03:16.497,K1IV,N/A,8.57,7.74,7.525,32.79,HD100508_harps_all-data_v1.dat,HD100508_harps_all-data_v1.csv
HD100655,35:03.8,+20:26:29.563,G9III,4891,7.468,6.438,6.173,137.72,HD100655_harps_all-data_v1.dat,HD100655_harps_all-data_v1.csv
HD10069,37:25.0,-45:40:40.376,F6IV/V,6462,9.74,9.3,9.166,123.92,HD10069_harps_all-data_v1.dat,HD10069_harps_all-data_v1.csv
HD100777,35:51.5,-04:45:20.501,G8V,5532.5,9.19,8.42,8.239,49.6,HD100777_harps_all-data_v1.dat,HD100777_harps_all-data_v1.csv
HD100889,36:40.9,-09:48:08.091,B9.5V,9664.5,4.604,4.673,4.635,88.84,HD100889_harps_all-data_v1.dat,HD100889_harps_all-data_v1.csv
HD101063,37:40.4,-28:51:04.855,K5/M0III,N/A,10.21,9.45,9.206,246.42,HD101063_harps_all-data_v1.dat,HD101063_harps_all-data_v1.csv
HD101065,37:37.0,-46:42:34.875,F8/G0p,6038,8.79,8.03,7.924,108.79,HD101065_harps_all-data_v1.dat,HD101065_harps_all-data_v1.csv
HD101197,38:38.2,-11:14:21.254,G3V,5769.8,9.38,8.75,8.57,92.03,HD101197_harps_all-data_v1.dat,HD101197_harps_all-data_v1.csv
HD101339,39:39.8,-04:59:04.092,G5V,5748.5,9.492,8.81,8.667,59.8,HD101339_harps_all-data_v1.dat,HD101339_harps_all-data_v1.csv
HD101348,39:36.6,-35:13:57.227,G2V,5701.3,8.54,7.82,7.646,79.34,HD101348_harps_all-data_v1.dat,HD101348_harps_all-data_v1.csv
HD101367,39:55.9,-04:57:38.937,G6/8IV,5603,9.31,8.6,8.4,58.33,HD101367_harps_all-data_v1.dat,HD101367_harps_all-data_v1.csv
HD101412,39:44.5,-60:10:27.717,A3VaekA0mA0_lB,7840,9.465,9.288,9.207,411.39,HD101412_harps_all-data_v1.dat,HD101412_harps_all-data_v1.csv
HD101612,41:22.5,-26:40:01.886,F5/6V,6223.9,8.01,7.54,7.402,50.48,HD101612_harps_all-data_v1.dat,HD101612_harps_all-data_v1.csv
HD101615,41:19.8,-43:05:44.392,A0V,9388,5.57,5.53,5.519,64.3,HD101615_harps_all-data_v1.dat,HD101615_harps_all-data_v1.csv
HD101644,41:45.1,-06:41:04.289,G5V,5831.2,9.93,9.25,9.094,61.77,HD101644_harps_all-data_v1.dat,HD101644_harps_all-data_v1.csv
HD101650,41:40.2,-23:11:56.788,K3/5(V),3568.3,11.65,10.51,10.133,42.14,HD101650_harps_all-data_v1.dat,HD101650_harps_all-data_v1.csv
HD10180,37:53.6,-60:30:41.485,G1V,5891,7.95,7.32,7.173,39,HD10180_harps_all-data_v1.dat,HD10180_harps_all-data_v1.csv
HD101886,43:19.0,-51:49:08.834,K1III,4821.3,9.57,8.44,8.161,531.58,HD101886_harps_all-data_v1.dat,HD101886_harps_all-data_v1.csv
HD10188,39:02.0,-33:28:05.276,G5V(CNIV),5778,9.61,8.9,8.773,109.06,HD10188_harps_all-data_v1.dat,HD10188_harps_all-data_v1.csv
HD101930,43:30.1,-58:00:24.776,K2V+,5095.6,9.12,8.21,7.967,30.05,HD101930_harps_all-data_v1.dat,HD101930_harps_all-data_v1.csv
HD102117,44:50.5,-58:42:13.356,G6V,5630,8.2,7.45,7.282,39.62,HD102117_harps_all-data_v1.dat,HD102117_harps_all-data_v1.csv
HD102124,45:17.0,+08:15:29.215,A4V,7862.2,5.003,4.842,4.77,36.22,HD102124_harps_all-data_v1.dat,HD102124_harps_all-data_v1.csv
HD102188,45:17.3,-57:34:29.209,G5V,5628.3,10.16,9.43,9.234,90.21,HD102188_harps_all-data_v1.dat,HD102188_harps_all-data_v1.csv
HD102195,45:42.3,+02:49:17.326,K0V,5300,nan,nan,7.847,29.36,HD102195_harps_all-data_v1.dat,HD102195_harps_all-data_v1.csv
HD102196,45:38.5,-16:04:41.182,G2V,6059,8.71,8.12,8.011,101.39,HD102196_harps_all-data_v1.dat,HD102196_harps_all-data_v1.csv
HD102200,45:34.2,-46:03:46.386,F2V,6126.7,9.13,8.76,8.591,72.24,HD102200_harps_all-data_v1.dat,HD102200_harps_all-data_v1.csv
HD102272,46:23.5,+14:07:26.353,K2,4807,9.71,8.71,8.405,350,HD102272_harps_all-data_v1.dat,HD102272_harps_all-data_v1.csv
HD102300,46:27.5,-24:58:34.473,F7V,6004.9,8.26,7.69,7.53,58.79,HD102300_harps_all-data_v1.dat,HD102300_harps_all-data_v1.csv
HD102346,46:42.4,-19:28:11.150,F8V,3604,8.69,8.14,8.008,56.96,HD102346_harps_all-data_v1.dat,HD102346_harps_all-data_v1.csv
HD102361,46:48.9,-21:28:29.663,F8V,6012.8,8.72,8.15,8.022,78.1,HD102361_harps_all-data_v1.dat,HD102361_harps_all-data_v1.csv
HD102458,47:24.5,-49:53:03.018,G4V,5899.7,9.7,9.07,8.895,113.4,HD102458_harps_all-data_v1.dat,HD102458_harps_all-data_v1.csv
HD10278,40:22.5,-10:26:40.055,G6/8V,5680,9.86,9.15,8.962,65.83,HD10278_harps_all-data_v1.dat,HD10278_harps_all-data_v1.csv
HD102843,50:20.9,-01:15:08.843,K0V,N/A,9.983,9.244,9.049,62.87,HD102843_harps_all-data_v1.dat,HD102843_harps_all-data_v1.csv
HD103197,52:53.0,-50:17:34.159,K1V(p),5135.7,10.31,9.39,9.164,57.24,HD103197_harps_all-data_v1.dat,HD103197_harps_all-data_v1.csv
HD103234,53:08.0,-56:43:38.097,F2IV/V,6556.1,8.65,8.25,8.149,102.13,HD103234_harps_all-data_v1.dat,HD103234_harps_all-data_v1.csv
HD10337,41:06.7,+03:42:50.028,G8V,5612,nan,nan,7.907,41.85,HD10337_harps_all-data_v1.dat,HD10337_harps_all-data_v1.csv
HD103589,55:28.9,-62:11:47.119,F2IV/V,6692,8.26,7.86,7.752,114.89,HD103589_harps_all-data_v1.dat,HD103589_harps_all-data_v1.csv
HD103720,56:41.2,-02:46:44.235,K1IV/V,5017,10.44,9.49,9.224,45.6,HD103720_harps_all-data_v1.dat,HD103720_harps_all-data_v1.csv
HD103743,56:43.8,-32:16:02.692,G4V,5095.6,8.48,7.81,7.64,35.53,HD103743_harps_all-data_v1.dat,HD103743_harps_all-data_v1.csv
HD103774,56:55.6,-12:06:28.470,F6V,6350.4,7.61,7.12,7.009,56.5,HD103774_harps_all-data_v1.dat,HD103774_harps_all-data_v1.csv
HD10380,41:25.9,+05:29:15.406,K3III,4203.3,5.81,4.44,3.89,106.74,HD10380_harps_all-data_v1.dat,HD10380_harps_all-data_v1.csv
HD103847,57:28.9,+19:59:02.050,K0,N/A,8.91,nan,7.831,27.85,HD103847_harps_all-data_v1.dat,HD103847_harps_all-data_v1.csv
HD103891,57:45.3,-08:32:55.365,F8V,5989.6,9.078,8.646,6.432,55.6,HD103891_harps_all-data_v1.dat,HD103891_harps_all-data_v1.csv
HD103949,58:11.7,-23:55:25.995,K3V,4792.2,9.74,8.72,8.385,26.52,HD103949_harps_all-data_v1.dat,HD103949_harps_all-data_v1.csv
HD104006,58:28.0,-41:55:19.232,K0.5V,N/A,9.74,8.91,8.661,32.75,HD104006_harps_all-data_v1.dat,HD104006_harps_all-data_v1.csv
HD104067,59:10.0,-20:21:13.610,K2V,N/A,8.897,7.921,7.62,20.38,HD104067_harps_all-data_v1.dat,HD104067_harps_all-data_v1.csv
HD1040,14:39.1,-39:47:39.400,G3V,5853,9.83,9.17,9.027,82.11,HD1040_harps_all-data_v1.dat,HD1040_harps_all-data_v1.csv
HD104181,59:56.9,+03:39:18.744,A0V,9507.5,5.346,5.345,5.325,89.83,HD104181_harps_all-data_v1.dat,HD104181_harps_all-data_v1.csv
HD104263,00:27.5,-04:32:55.711,G8/K0V,5467,8.97,8.23,8.03,42.05,HD104263_harps_all-data_v1.dat,HD104263_harps_all-data_v1.csv
HD10472,40:24.1,-60:59:56.623,F2IV/V,6697.8,8.01,7.61,7.516,71.15,HD10472_harps_all-data_v1.dat,HD10472_harps_all-data_v1.csv
HD104760,03:46.3,-44:07:22.103,G2/3III,5840.5,8.68,8.07,7.903,53.09,HD104760_harps_all-data_v1.dat,HD104760_harps_all-data_v1.csv
HD104800,04:05.6,+03:20:26.708,G3V,N/A,9.8,nan,9.057,72.09,HD104800_harps_all-data_v1.dat,HD104800_harps_all-data_v1.csv
HD104819,04:10.9,-22:22:15.830,K2III,4838.8,9.09,7.91,7.603,124.41,HD104819_harps_all-data_v1.dat,HD104819_harps_all-data_v1.csv
HD104982,05:13.4,-28:43:02.026,G2V,N/A,8.47,7.82,7.609,36.29,HD104982_harps_all-data_v1.dat,HD104982_harps_all-data_v1.csv
HD105575,09:20.8,-27:58:55.925,K2V(e),4922.6,11.2,9.089,8.803,nan,HD105575_harps_all-data_v1.dat,HD105575_harps_all-data_v1.csv
HD105665,09:58.1,-13:26:07.781,G0/1V,6034.7,8.85,8.32,8.191,81.96,HD105665_harps_all-data_v1.dat,HD105665_harps_all-data_v1.csv
HD105690,10:06.5,-49:10:50.656,G5V,5562.5,8.86,8.199,7.981,37.76,HD105690_harps_all-data_v1.dat,HD105690_harps_all-data_v1.csv
HD105707,10:07.5,-22:37:11.161,K2+IIIa,4710,4.32,2.98,2.458,79.99,HD105707_harps_all-data_v1.dat,HD105707_harps_all-data_v1.csv
HD105779,10:38.9,-16:57:22.645,G3V,5812,9.27,8.64,8.49,55.33,HD105779_harps_all-data_v1.dat,HD105779_harps_all-data_v1.csv
HD105837,10:57.9,-46:19:19.136,G0VFe-0.9,5890.8,8.072,7.523,7.369,35.83,HD105837_harps_all-data_v1.dat,HD105837_harps_all-data_v1.csv
HD105850,11:03.8,-23:36:08.722,A1V,9113,5.52,5.47,5.419,58.81,HD105850_harps_all-data_v1.dat,HD105850_harps_all-data_v1.csv
HD105938,11:38.1,-54:25:03.491,F7V,6149.5,7.34,6.79,6.651,54.88,HD105938_harps_all-data_v1.dat,HD105938_harps_all-data_v1.csv
HD105,05:52.5,-41:45:11.046,G0V,5940,8.13,7.53,7.383,38.85,HD105_harps_all-data_v1.dat,HD105_harps_all-data_v1.csv
HD10615,41:48.0,-60:47:21.618,K2/3III,4365,6.951,5.692,5.292,118.32,HD10615_harps_all-data_v1.dat,HD10615_harps_all-data_v1.csv
HD106275,13:51.9,-69:03:37.632,K2V,5030,9.55,8.65,8.37,32.05,HD106275_harps_all-data_v1.dat,HD106275_harps_all-data_v1.csv
HD106290,13:52.8,-55:12:26.635,G1V,5951.5,9.06,8.42,8.286,62.13,HD106290_harps_all-data_v1.dat,HD106290_harps_all-data_v1.csv
HD106315,13:53.4,-00:23:36.554,F5V,6439.5,9.402,8.951,8.888,109.69,HD106315_harps_all-data_v1.dat,HD106315_harps_all-data_v1.csv
HD106444,14:50.7,-55:47:23.526,F5V,6521.4,8.94,8.155,8.32,114.85,HD106444_harps_all-data_v1.dat,HD106444_harps_all-data_v1.csv
HD10647,42:29.3,-53:44:26.991,F9V,6143,6.05,5.52,5.355,17.34,HD10647_harps_all-data_v1.dat,HD10647_harps_all-data_v1.csv
HD106589,15:36.7,-48:24:58.313,G5V,N/A,9.61,8.93,8.767,61.3,HD106589_harps_all-data_v1.dat,HD106589_harps_all-data_v1.csv
HD106661,16:00.2,+14:53:56.651,A3V,8729,5.15,5.09,5.049,64.99,HD106661_harps_all-data_v1.dat,HD106661_harps_all-data_v1.csv
HD106906,17:53.2,-55:58:31.890,F5V,6484.1,8.21,7.81,7.686,103.33,HD106906_harps_all-data_v1.dat,HD106906_harps_all-data_v1.csv
HD106937,17:56.9,-35:49:54.173,G6/8V,5506.2,9.25,8.48,8.302,81.97,HD106937_harps_all-data_v1.dat,HD106937_harps_all-data_v1.csv
HD10700,44:04.1,-15:56:14.926,G8V,N/A,4.22,3.5,3.134,3.6,HD10700_harps_all-data_v1.dat,HD10700_harps_all-data_v1.csv
HD107148,19:13.5,-03:19:11.239,G5V,5761.3,8.72,8.02,7.851,49.49,HD107148_harps_all-data_v1.dat,HD107148_harps_all-data_v1.csv
HD107181,19:27.3,-26:06:26.552,G3V,5571.3,9.15,8.4,8.246,79.7,HD107181_harps_all-data_v1.dat,HD107181_harps_all-data_v1.csv
HD107383,20:43.0,+17:47:34.339,G8+IIIFe-1,4755,5.74,4.74,4.372,93.37,HD107383_harps_all-data_v1.dat,HD107383_harps_all-data_v1.csv
HD10761,45:23.6,+09:09:27.912,G8III,4998,5.22,4.26,3.934,76.33,HD10761_harps_all-data_v1.dat,HD10761_harps_all-data_v1.csv
HD108063,25:08.5,-42:30:51.524,G5III+F/G,5883.2,6.749,6.094,5.944,52.63,HD108063_harps_all-data_v1.dat,HD108063_harps_all-data_v1.csv
HD108147,25:46.3,-64:01:19.515,F8/G0V,6202.8,7.532,6.994,6.853,38.96,HD108147_harps_all-data_v1.dat,HD108147_harps_all-data_v1.csv
HD108177,25:35.0,+01:17:02.259,F0V,N/A,10.09,9.66,9.519,107.38,HD108177_harps_all-data_v1.dat,HD108177_harps_all-data_v1.csv
HD108202,25:51.0,-01:06:38.124,K4/5V,N/A,11.47,10.22,9.783,38.73,HD108202_harps_all-data_v1.dat,HD108202_harps_all-data_v1.csv
HD108309,26:48.1,-48:54:47.499,G2V,N/A,6.94,6.26,6.074,26.84,HD108309_harps_all-data_v1.dat,HD108309_harps_all-data_v1.csv
HD10830,45:38.8,-25:03:09.402,F1V+K1V,6695,5.7,5.31,nan,27.93,HD10830_harps_all-data_v1.dat,HD10830_harps_all-data_v1.csv
HD108341,27:31.4,-71:25:22.732,K2V,5086,10.29,9.36,9.143,48.98,HD108341_harps_all-data_v1.dat,HD108341_harps_all-data_v1.csv
HD108564,28:19.1,-16:54:39.776,K5Vmetalweak,N/A,10.43,9.502,9.108,27.27,HD108564_harps_all-data_v1.dat,HD108564_harps_all-data_v1.csv
HD108570,28:33.6,-56:24:28.141,K0/1III,N/A,7.07,6.13,5.881,42.68,HD108570_harps_all-data_v1.dat,HD108570_harps_all-data_v1.csv
HD108767B,29:50.9,-16:31:15.206,K1,4991,9.38,8.43,8.167,26.7,HD108767B_harps_all-data_v1.dat,HD108767B_harps_all-data_v1.csv
HD108767,29:51.9,-16:30:55.552,A0IV(n)kB9,4732.7,2.89,2.94,2.983,25.98,HD108767_harps_all-data_v1.dat,HD108767_harps_all-data_v1.csv
HD108768,29:55.5,-26:25:13.996,G6V,5584,9.62,8.86,8.72,58.29,HD108768_harps_all-data_v1.dat,HD108768_harps_all-data_v1.csv
HD108857,30:46.3,-58:11:16.781,F7V,5827,9.12,8.6,8.428,104.52,HD108857_harps_all-data_v1.dat,HD108857_harps_all-data_v1.csv
HD108935,31:17.7,-43:23:04.076,K4V,N/A,10.889,9.928,9.403,38.99,HD108935_harps_all-data_v1.dat,HD108935_harps_all-data_v1.csv
HD108953,31:35.5,-59:12:28.688,G8/K0IV/V,5426.6,9.99,9.19,9.066,70.37,HD108953_harps_all-data_v1.dat,HD108953_harps_all-data_v1.csv
HD10895,46:00.1,-43:54:48.079,G3V,5687,9.35,8.69,8.538,49.03,HD10895_harps_all-data_v1.dat,HD10895_harps_all-data_v1.csv
HD109098,32:04.5,-01:46:20.487,G3/5V,5923.2,7.94,7.31,7.149,57.38,HD109098_harps_all-data_v1.dat,HD109098_harps_all-data_v1.csv
HD109138,33:29.8,-75:23:11.249,K0V,5484.6,10.24,9.47,9.307,64.31,HD109138_harps_all-data_v1.dat,HD109138_harps_all-data_v1.csv
HD109271,33:35.6,-11:37:18.727,G3/5V,5748.4,8.71,8.05,7.878,55.96,HD109271_harps_all-data_v1.dat,HD109271_harps_all-data_v1.csv
HD109310,33:49.1,-23:30:56.697,G1V,5941.3,8.9,8.35,8.218,53.37,HD109310_harps_all-data_v1.dat,HD109310_harps_all-data_v1.csv
HD109379,34:23.2,-23:23:48.337,G5IIBa0.3,4732.7,3.52,2.64,2.251,50,HD109379_harps_all-data_v1.dat,HD109379_harps_all-data_v1.csv
HD109408,34:41.7,-42:54:58.551,F2V,6555.1,10.73,10.37,10.218,245.36,HD109408_harps_all-data_v1.dat,HD109408_harps_all-data_v1.csv
HD109409,34:42.4,-44:40:22.868,G3IV,5826,6.47,5.77,5.59,28.49,HD109409_harps_all-data_v1.dat,HD109409_harps_all-data_v1.csv
HD109536,35:45.5,-41:01:19.021,A7V,7636.5,5.342,5.114,5.039,34.89,HD109536_harps_all-data_v1.dat,HD109536_harps_all-data_v1.csv
HD109573,36:01.0,-39:52:10.222,A0V,9669.8,5.786,5.774,5.771,71.91,HD109573_harps_all-data_v1.dat,HD109573_harps_all-data_v1.csv
HD109684,36:28.4,+10:43:47.411,G0,6008,9.28,8.73,8.568,83.22,HD109684_harps_all-data_v1.dat,HD109684_harps_all-data_v1.csv
HD109787,37:42.2,-48:32:28.709,A1IVnn,8346,3.91,3.86,3.777,39.72,HD109787_harps_all-data_v1.dat,HD109787_harps_all-data_v1.csv
HD109988,39:15.8,-32:43:33.893,K0IV/V,5130,9.77,8.9,8.66,42.58,HD109988_harps_all-data_v1.dat,HD109988_harps_all-data_v1.csv
HD110014,39:14.8,-07:59:44.041,K2+IIICN0.5,4445,5.886,4.643,4.236,100.98,HD110014_harps_all-data_v1.dat,HD110014_harps_all-data_v1.csv
HD110058,39:46.2,-49:11:55.552,A0V,8039,8.12,7.97,7.95,129.98,HD110058_harps_all-data_v1.dat,HD110058_harps_all-data_v1.csv
HD11025,37:28.0,-84:46:10.616,G8III,5027.5,6.606,5.667,5.397,104.17,HD11025_harps_all-data_v1.dat,HD11025_harps_all-data_v1.csv
HD110291,41:37.7,-56:38:00.298,K1/2III+F/G,5453,9.89,9.16,8.939,60.86,HD110291_harps_all-data_v1.dat,HD110291_harps_all-data_v1.csv
HD110411,41:53.1,+10:14:08.229,A0Va_lB,8757,4.97,4.88,4.817,38.16,HD110411_harps_all-data_v1.dat,HD110411_harps_all-data_v1.csv
HD110537,42:59.3,-04:02:57.596,G6/8V,N/A,8.51,7.83,7.661,45.14,HD110537_harps_all-data_v1.dat,HD110537_harps_all-data_v1.csv
HD110557,43:08.9,-05:44:24.847,K0V,N/A,10.46,9.66,9.437,64.29,HD110557_harps_all-data_v1.dat,HD110557_harps_all-data_v1.csv
HD110619,43:42.7,-37:42:29.319,G5V,N/A,8.19,7.52,7.35,27.77,HD110619_harps_all-data_v1.dat,HD110619_harps_all-data_v1.csv
HD110621,43:43.2,-44:40:31.556,Fpw,5652,10.34,9.92,9.772,150.58,HD110621_harps_all-data_v1.dat,HD110621_harps_all-data_v1.csv
HD110668,43:58.4,-35:07:23.193,G3/5V,5836.5,8.95,8.28,8.138,57.01,HD110668_harps_all-data_v1.dat,HD110668_harps_all-data_v1.csv
HD111133,47:02.3,+05:57:01.395,A0VspSrCrEu,9628,6.29,6.34,6.276,191.92,HD111133_harps_all-data_v1.dat,HD111133_harps_all-data_v1.csv
HD111232,48:51.8,-68:25:30.547,G8VFe-1.0,5605,8.29,7.61,7.405,28.98,HD111232_harps_all-data_v1.dat,HD111232_harps_all-data_v1.csv
HD111261B,48:10.0,-24:48:16.628,K7Vk:,N/A,nan,9.33,9.302,18.73,HD111261B_harps_all-data_v1.dat,HD111261B_harps_all-data_v1.csv
HD111519,50:19.5,-48:27:34.377,A0V,8938.8,6.282,6.257,6.229,161.12,HD111519_harps_all-data_v1.dat,HD111519_harps_all-data_v1.csv
HD111564,50:20.2,-30:34:37.518,G0V,N/A,8.22,7.61,7.465,46.34,HD111564_harps_all-data_v1.dat,HD111564_harps_all-data_v1.csv
